tenant,brand,product_name,source_system,source_entity,source_column,landing_column,conformance_column,silver_column,source_type_name,target_type_name,nullable_flag,default_value,transform_expression,is_active
ikea,ikea,connect,cemc,ftsdetails,MANUFACT_NAME,manufact_name,manufact_name,manufact_name,string,string,true,,MANUFACT_NAME,true
ikea,ikea,connect,cemc,ftsdetails,MANUFACT_COUNTRY,manufact_country,manufact_country,manufact_country,string,string,true,,MANUFACT_COUNTRY,true
ikea,ikea,connect,cemc,ftsdetails,MANUFACT_CITY,manufact_city,manufact_city,manufact_city,string,string,true,,MANUFACT_CITY,true
ikea,ikea,connect,cemc,ftsdetails,PRODUCER_NAME,producer_name,producer_name,producer_name,string,string,true,,PRODUCER_NAME,true
ikea,ikea,connect,cemc,ftsdetails,PRODUCER_COUNTRY,producer_country,producer_country,producer_country,string,string,true,,PRODUCER_COUNTRY,true
ikea,ikea,connect,cemc,ftsdetails,PRODUCER_CITY,producer_city,producer_city,producer_city,string,string,true,,PRODUCER_CITY,true
ikea,ikea,connect,cemc,ftsdetails,PAPER_MIL_NAME,paper_mil_name,paper_mil_name,paper_mil_name,string,string,true,,PAPER_MIL_NAME,true
ikea,ikea,connect,cemc,ftsdetails,PAPER_MIL_COUNTRY,paper_mil_country,paper_mil_country,paper_mil_country,string,string,true,,PAPER_MIL_COUNTRY,true
ikea,ikea,connect,cemc,ftsdetails,PAPER_MIL_CITY,paper_mil_city,paper_mil_city,paper_mil_city,string,string,true,,PAPER_MIL_CITY,true
ikea,ikea,connect,cemc,ftsdetails,VOLUME_MEASUREMENT_UNIT,volume_measurement_unit,volume_measurement_unit,volume_measurement_unit,string,string,true,,VOLUME_MEASUREMENT_UNIT,true
ikea,ikea,connect,cemc,ftsdetails,RECYCLE_VOLUME,recycle_volume,recycle_volume,recycle_volume,string,int,true,,RECYCLE_VOLUME,true
ikea,ikea,connect,cemc,ftsdetails,YIELD_PERCENT,yield_percent,yield_percent,yield_percent,string,int,true,,YIELD_PERCENT,true
ikea,ikea,connect,cemc,ftsdetails,RWE_FACTOR,rwe_factor,rwe_factor,rwe_factor,string,int,true,,RWE_FACTOR,true
ikea,ikea,connect,cemc,ftsdetails,OTHER_CERTIFICATE_DETAIL,other_certificate_detail,other_certificate_detail,other_certificate_detail,string,string,true,,OTHER_CERTIFICATE_DETAIL,true
ikea,ikea,connect,cemc,ftsdetails,COMMERICAL_NAME,commerical_name,commerical_name,commerical_name,string,string,true,,COMMERICAL_NAME,true
ikea,ikea,connect,cemc,ftsdetails,GRAMMAGE,grammage,grammage,grammage,string,int,true,,GRAMMAGE,true
ikea,ikea,connect,cemc,ftsdetails,MATERIALDESCRPTION_ID,materialdescrption_id,materialdescrption_id,materialdescrption_id,int,int,true,,MATERIALDESCRPTION_ID,true
ikea,ikea,connect,cemc,ftsdetails,VENEER_THICKNESS,veneer_thickness,veneer_thickness,veneer_thickness,string,int,true,,VENEER_THICKNESS,true
ikea,ikea,connect,cemc,ftsdetails,WOOD_BASED_YARN,wood_based_yarn,wood_based_yarn,wood_based_yarn,string,int,true,,WOOD_BASED_YARN,true
ikea,ikea,connect,cemc,ftsdetails,FSC_COC_CODE,fsc_coc_code,fsc_coc_code,fsc_coc_code,string,string,true,,FSC_COC_CODE,true
ikea,ikea,connect,cemc,ftsdetails,BU_CODE,bu_code,bu_code,bu_code,string,string,false,,BU_CODE,true
ikea,ikea,connect,cemc,ftsdetails,BU_TYPE,bu_type,bu_type,bu_type,string,string,false,,BU_TYPE,true
ikea,ikea,connect,cemc,ftsdetails,COUNTRY_CODE,country_code,country_code,country_code,string,string,true,,COUNTRY_CODE,true
ikea,ikea,connect,cemc,ftsdetails,COUNTRY_MITIGATE_COMMENTS,country_mitigate_comments,country_mitigate_comments,country_mitigate_comments,string,string,true,,COUNTRY_MITIGATE_COMMENTS,true
ikea,ikea,connect,cemc,ftsdetails,COUNTRY_MITIGATION_DATE,country_mitigation_date,country_mitigation_date,country_mitigation_date,date,date,true,,COUNTRY_MITIGATION_DATE,true
